NDB_ナンバー,食品名,水_(g),Energ_Kcal,タンパク質_(g),Lipid_Tot_(g),Ash_(g),炭水化物_(g),ファイバー_TD_(g),Sugar_Tot_(g)
1087,ミルク、ノンファット、フルイド、プロテイン、VIT A & D 添加 (無脂肪/スキム),89.36,41,3.96,0.25,0.87,5.56,0,
1088,牛乳、BTTRMLK、液体、培養、低脂肪,90.13,40,3.31,0.88,0.89,4.79,0,4.79
1089,ミルク、ロナ、フルイド,88.2,61,3.1,3.46,0.78,4.46,0,4.46
1090,ミルク、ドライ、WHL、ビタミンD添加,2.47,496,26.32,26.71,6.08,38.42,0,38.42
1091,MILK、DRY、NONFAT、REG、WO /添加VIT A＆VITAMIN D,3.16,362,36.16,0.77,7.93,51.98,0,51.98
1092,ミルク、ドライ、ノンファット、インスト、VIT A & VITAMIN D 添加,3.96,358,35.1,0.72,8.03,52.19,0,52.19
1093,ミルク、ドライ、ノンファット、CAレッド,4.9,354,35.5,0.2,7.6,51.8,0,
1094,牛乳、バターミルク、乾燥,2.97,387,34.3,5.78,7.95,49,0,49
1095,ミルク、CND、COND、SWTND,27.16,321,7.91,8.7,1.83,54.4,0,54.4
1096,MILK、CND、EVAP、W/ 添加ビタミン D & WO/ 添加 VIT A,74.04,134,6.81,7.56,1.55,10.04,0,10.04
1097,牛乳、CND、EVAP、ノンファット、VIT A & VITAMIN D 添加,79.4,78,7.55,0.2,1.5,11.35,0,11.35
1102,ミルク、チョコレート、液体、COMM、WHL、VIT A & VITAMIN D 添加,82.3,83,3.17,3.39,0.8,10.34,0.8,9.54
1103,牛乳、チョコ、液体、COMM、赤脂肪,82.17,76,2.99,1.9,0.81,12.13,0.7,9.55
1104,牛乳、チョコレート、低脂肪、ビタミンAとビタミンDを添加,84.91,62,3.46,1,0.78,9.86,0.1,9.94
1105,牛乳、チョコベブ、ホットココア、自家製,82.45,77,3.52,2.34,0.65,10.74,1,9.66
1106,ミルク、ヤギ、液体、ビタミンD添加,87.03,69,3.56,4.14,0.82,4.45,0,4.45
1107,ミルク、人間、成熟、体液,87.5,70,1.03,4.38,0.2,6.89,0,6.89
1108,牛乳、インドバッファロー、体液,83.39,97,3.75,6.89,0.79,5.18,0,
1109,牛乳、羊、液体,80.7,108,5.98,7,0.96,5.36,0,
1110,ミルクシェイク、濃厚チョコ,72.2,119,3.05,2.7,0.9,21.15,0.3,20.85
1111,ミルクシェイク、濃厚バニラ,74.45,112,3.86,3.03,0.91,17.75,0,17.75
1112,ホエイ、酸、液体,93.42,24,0.76,0.09,0.61,5.12,0,5.12
1113,ホエイ、酸、乾燥,3.51,339,11.73,0.54,10.77,73.45,0,73.45
1114,ホエイ、スイート、フルイド,93.12,27,0.85,0.36,0.53,5.14,0,5.14
1115,ホエイ、スイート、ドライ,3.19,353,12.93,1.07,8.35,74.46,0,74.46
1116,ヨーグルト、PLN、WHL ミルク、8 オンスあたり 8 グラムのプロト,87.9,61,3.47,3.25,0.72,4.66,0,4.66
1117,ヨーグルト、PLN、LOFAT、8 オンスあたり 12 グラムのプロト,85.07,63,5.25,1.55,1.09,7.04,0,7.04
1118,ヨーグルト、PLN、スキムミルク、8オンスあたり13グラムのプロト,85.23,56,5.73,0.18,1.18,7.68,0,7.68
1119,ヨーグルト、バニラ、ローファット、8オンスあたり11グラムのプロト,79,85,4.93,1.25,1.02,13.8,0,13.8
1120,ヨーグルト、フルーツ、ローファット、8 オンスあたり 9 グラムのプロト,75.3,99,3.98,1.15,0.93,18.64,0,18.64
1121,ヨーグルト、フルーツ、ローファット、8 オンスあたり 10 グラムのプロト,74.48,102,4.37,1.08,1.02,19.05,0,19.05
1122,ヨーグルト、フルーツ、ローファット、8 オンスあたり 11 グラムのプロト,74.1,105,4.86,1.41,1.03,18.6,0,
1123,卵、白身、生、FRSH,76.15,143,12.56,9.51,1.06,0.72,0,0.37
1124,卵、白、生、生,87.57,52,10.9,0.17,0.63,0.73,0,0.71
1125,卵、卵黄、生、FRSH,52.31,322,15.86,26.54,1.71,3.59,0,0.56
1126,卵、卵黄、生、FRZ、過去,56.44,296,15.53,25.6,1.62,0.81,0,0.16
1127,卵、卵黄、生、FRZ、砂糖漬け、過去,51.23,307,13.87,22.82,1.13,10.95,0,10.3
1128,卵、白身、CKD、揚げ物,69.47,196,13.61,14.84,1.26,0.83,0,0.4
1129,卵、白身、CKD、ハードボイルド,74.62,155,12.58,10.61,1.08,1.12,0,1.12
1130,卵、ホール、調理済み、オムレツ,76.13,154,10.57,11.66,1.01,0.64,0,0.31
1131,卵、白身、CKD、ポーチ,75.85,143,12.51,9.47,1.46,0.71,0,0.37
1132,EGG、WHL、CKD、SCRMBLD,76.4,149,9.99,10.98,1.01,1.61,0,1.39
1133,卵、白身、乾燥,2.78,592,48.05,43.9,4.13,1.13,0,0.56
1134,卵、白身、乾燥、安定化、グルコースレッド,1.87,615,48.17,43.95,3.63,2.38,0,
1135,卵、白、乾燥、フレーク、安定化、ブドウ糖赤,14.62,351,76.92,0.04,4.25,4.17,0,0
1136,卵、白、乾燥、PDR、安定化、ブドウ糖赤,8.54,376,82.4,0.04,4.55,4.47,0,0
1137,卵、卵黄、乾燥,3.08,669,33.63,59.13,3.51,0.66,0,0.23
1138,たまご、あひる、まるごと、生、生,70.83,185,12.81,13.77,1.14,1.45,0,0.93
1139,卵、ガチョウ、丸ごと、新鮮、生,70.43,185,13.87,13.27,1.08,1.35,0,0.94
1140,卵、うずら、丸ごと、生、生,74.35,158,13.05,11.09,1.1,0.41,0,0.4
1141,卵、七面鳥肉、WHL、FRSH、生,72.5,171,13.68,11.88,0.79,1.15,0,
1144,卵代替品、粉末,3.86,444,55.5,13,5.84,21.8,0,21.8
1145,バター、無塩,17.94,717,0.85,81.11,0.09,0.06,0,0.06
1146,チーズ、パルメザンチーズ、細切り,25,415,37.86,27.34,6.39,3.41,0,0.9
1151,ミルク、ノンファット、フルイド、WO/ VIT A & VIT D 添加 (無脂肪またはスキム),90.84,34,3.37,0.08,0.75,4.96,0,5.09
1152,牛乳、赤脂肪、液体、2% 乳脂肪、無脂肪牛乳 SOL、ビタミン A なし,87.71,56,3.95,1.98,0.87,5.49,0,
1153,ミルク、CND、EVAP、VIT A,74.04,134,6.81,7.56,1.55,10.04,0,
1154,ミルク、ドライ、ノンファット、REG、VIT A & VITAMIN D 添加,3.16,362,36.16,0.77,7.93,51.98,0,51.98
1155,ミルク、ドライ、ノンファット、インスト、WO/ 添加ビタミン A & ビタミン D,3.96,358,35.1,0.72,8.03,52.19,0,52.19
1156,チーズ、ゴート、ハードタイプ,29.01,452,30.52,35.59,3.72,2.17,0,2.17
1157,チーズ、ゴート、セミソフトタイプ,45.52,364,21.58,29.84,2.94,0.12,0,0.12
1159,チーズ、ゴート、ソフトタイプ,60.75,264,18.52,21.08,1.58,0,0,0
1160,卵、卵黄、生、FRZ、塩漬け、過去,50.87,275,14.07,22.93,10.37,1.77,0,0.07
1161,サブチーズ、モッツァレラ,47.36,248,11.47,12.22,5.27,23.67,0,23.67
1164,チーズソース、レシピからの準備,66.86,197,10.33,14.92,2.41,5.48,0.1,0.19
1165,チーズ、メキシカン、ケソ アネホ,38.06,373,21.44,29.98,5.89,4.63,0,4.63
1166,チーズ、メキシカン、ケソ アサデロ,42.16,356,22.6,28.26,4.11,2.87,0,2.87
1167,チーズ、メキシカン、ケソチワワ,39.13,374,21.56,29.68,4.06,5.56,0,5.56
1168,チーズ、ロファット、チェダーまたはコルビー,63.1,173,24.35,7,3.64,1.91,0,0.52
1169,チーズ、減塩、チェダーまたはコルビー,38.98,398,24.35,32.62,2.13,1.91,0,0.49
1171,卵、WHL、生、FRZ、過去,75.81,147,12.33,9.95,0.91,1.01,0,0.25
1172,卵、白、生、FRZ、過去,88.17,48,10.2,0,0.6,1.04,0,0.25
1173,たまご、白身、干し,5.8,382,81.1,0,5.3,7.8,0,5.4
1174,ミルク、赤脂肪、液体、2% ミルク脂肪、WO/ 添加 VIT A & VIT D,89.21,50,3.3,1.98,0.71,4.8,0,5.06
1175,牛乳、液体、1% FAT、WO/ 添加 VIT A & VIT D,89.92,42,3.37,0.97,0.75,4.99,0,5.2
1178,サワークリーム、低脂肪,71,181,7,14.1,0.9,7,0,0.3
1179,サワークリーム、ライト,78.1,136,3.5,10.6,0.7,7.1,0,0.22
1180,サワークリーム、無脂肪,80.6,74,3.1,0,0.7,15.6,0,0.39
1182,USDAコモディティ、CHS、チェダー、レッドファット,48.2,282,27.2,18.3,4.3,2,0,0.58
1184,ヨーグルト、VANまたはLEM FLAV、脱脂乳、SWTND、低カロリーSWTNR,87.43,43,3.86,0.18,1,7.5,0,7.5
1185,パルメザン CHS トッピング、無脂肪,8.6,370,40,5,6.4,40,0,1.5
1186,チーズ、クリーム、無脂肪,71.87,105,15.69,1,3.77,7.66,0,5.48
1187,ヨーグルト、チョコ、脱脂粉乳,71.57,112,3.53,0,1.37,23.53,1.2,14.97
1188,クラフト チーズ ウィズ パスト プロセス CHS SAU,51.5,276,12,21,5.8,9.2,0.3,6.7
1189,KRAFT CHEEZ WHIZ LT 過去の工程 CHS PRODUCT,51.5,215,16.3,9.5,6.4,16.2,0.2,8.2
1190,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,58,148,22.7,1,6.1,11.7,0.2,6.7
1191,KRAFT VELVEETA PAST PROCESS CHS SPRD,45.8,303,16.3,22,6,9.8,0,8.1
1192,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,51.3,222,19.6,10.6,6.6,11.8,0,8.5
1193,クラフト ブレイクストーンズ レッド ファット サワー CRM,76.2,152,4.5,12,0.8,6.5,0.1,6.4
1194,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,77.7,91,4.7,1.3,1.2,15.1,0,7.2
1199,クリーム、ハーフ＆ハーフ、無脂肪,86,59,2.6,1.4,1,9,0,5
1200,REDDI WIP FAT FREE ホイップ トッピング,66.44,149,3,5,0.56,25,0.4,16
1202,ミルク、チョコレート、液体、COMM、赤脂肪、CA 添加,82.17,78,2.99,1.9,0.81,12.13,0.7,9.55
1203,ヨーグルト、フルーツ、ローファット、地元の甘味料入り,74.1,105,4.86,1.41,1.03,18.6,0,2.9
1204,チーズ、パルメザンチーズ、おろし、赤身,50.6,265,20,20,8.03,1.37,0,0
1205,クリームサブ、FLAV、LIQ,50.06,251,0.69,13.5,0.55,35.07,1.1,33.04
1206,クリームサブ、FLAV、PDR,1.52,482,0.68,21.47,0.79,75.42,1.2,58.01
1208,チーズ、プロボローネ、赤身,50.6,274,24.7,17.6,3.6,3.5,0,0.55
1209,チーズ、メキシカン、ブレンド、赤身,48.2,282,24.69,19.4,4.3,3.41,0,0.56
1210,エッグミックス、USDA CMDTY,2.78,555,35.6,34.5,3.15,23.97,,2.46
1211,ミルク、WHL、3.25% ミルクファット、無添加 / ビタミン A & ビタミン D,88.13,61,3.15,3.27,0.67,4.78,0,5.05
1212,ミルク、ドライ、WHL、WO / ビタミンD添加,2.47,496,26.32,26.71,6.08,38.42,0,38.42
1214,MILK、CND、EVAP、WO /添加VIT A＆VITAMIN D,74.04,135,6.81,7.56,1.55,10.04,0,10.04
1215,"チーズ製品,過去のプロセス,アメリカ産,赤脂肪,フォート W/ VIT D",51.8,240,17.6,14.1,5.9,10.6,0,8.02
1216,ヨーグルト、フルーツ、ローファット、8 オンスあたり 9 グラムのプロト、ビタミン D 入りフォート,75.3,99,3.98,1.15,0.93,18.64,0,18.64
1217,ヨーグルト、フルーツ、ローファット、8オンスあたり10グラムのプロト、フォートW /ビタミンD,74.48,102,4.37,1.08,1.02,19.05,0,19.05
1218,ヨーグルト、フルーツバール、ノンファット、ビタミンD入りフォート,75.4,95,4.4,0.2,1,19,0,19
1219,ヨーグルト、フルーツ、低脂肪、ローカロリー SWTNR、ビタミン D 入りフォート,74.1,105,4.86,1.41,1.03,18.6,0,2.9
1220,ヨーグルト、バニラ、ローファット、8オンスあたり11グラムのプロト、フォートW / VIT D,79,85,4.93,1.25,1.02,13.8,0,13.8
1221,ヨーグルト、VAN/LEM FLAV、ノンファットミルク、LO-CAL SWTNR、VIT D 入りフォート,87.43,43,3.86,0.18,1,7.5,0,7.5
1222,ヨーグルト、チョコレート、脱脂乳、ビタミンD入りフォート,71.57,112,3.53,0,1.37,23.53,1.2,14.97
1223,プロテインサップ、ミルクBSD、マッスルミルク、PDR,15,411,45.71,17.14,3.65,18.5,7.1,5.71
1224,プロテインサップ、ミルクBSD、マッスルミルクLT、PDR,12,396,50,12,4,22,2,4
1225,ドゥルセ・デ・レチェ,28.71,315,6.84,7.35,1.74,55.35,0,49.74
1226,EGG SUB、LIQ または FRZ、無脂肪,87,48,10,0,1.3,2,0,2
1227,チーズ、ドライホワイト、ケソセコ,42.17,325,24.51,24.35,6.93,2.04,,0.55
1228,チーズ、FRSH、ケソフレスコ,51.42,299,18.09,23.82,3.68,2.98,0,2.32
1229,チーズ、白、ケソブランコ,48.7,310,20.38,24.31,4.07,2.53,,1.76
1230,牛乳、BTTRMLK、液体、WHL,87.91,62,3.21,3.31,0.68,4.88,0,4.88
1231,ヨーグルト、バニラ風味、低脂肪乳、SWTND、ローカル CAL SWTNR,79,86,4.93,1.25,1.02,13.8,0,5.43
1235,ヨーグルト、FRZ、チョコレートではないフレーバー、脱脂乳、低カロリー SWTNR,73.5,104,4.4,0.8,1.6,19.7,2,12.61
1236,ICE CRM、ソフトクリーム、CHOC,59.8,222,4.1,13,0.9,22.2,0.7,21.16
1237,ICE CRM、BARまたはSTK、CHOCカバー,46.3,331,4.1,24.1,1,24.5,0.8,18.3
1238,ICE CRM SNDWCH,48.9,237,4.29,8.57,1.1,37.14,0,18.57
1239,ICE CRM クッキー SNDWCH,48.7,240,3.7,7.4,0.55,39.6,1.2,21.3
1240,アイス CRM コーン、チョコレートで覆われた、ナッツ入り、チョコレート以外のフレーバー,37.43,354,5.21,21.88,1.11,34.38,1,25
1241,ICE CRM SNDWCH、MADE W/ LT ICE CRM、バニラ,52.63,186,4.29,3.04,0.39,39.64,0,17.86
1242,ICE CRM SNDWCH、バニラ、LT、砂糖無添加,48.13,200,5.71,2.86,0.39,42.86,7.1,6.58
1243,無脂肪アイスクリーム、砂糖無添加、チョコ以外のフレーバー,65.52,129,4.41,0,1.2,27.94,7.4,8.82
1244,MILK DSSRT BAR、FRZ、低脂肪乳から作られました,61.43,147,4.41,1.47,0.69,33.09,6.6,22.06
1250,糖尿病患者のための栄養補助食品、LIQ,79.74,88,4.4,3.08,0.9,11.88,2.2,2.64
1251,チーズ、メキシカンブレンド,42.48,358,23.54,28.51,3.72,1.75,0,1.23
1252,チーズ製品、過去のプロセス、アメリカ、ビタミン D フォート,45.07,307,16.09,23.06,6.94,8.85,0,6.24
1253,チーズ、過去のプロセス、アメリカ、無添加ビタミン D,39.61,371,18.13,31.79,6.78,3.7,0,2.26
1254,チーズFD、過去のプロセス、アメリカン、WO /添加ビタミンD,44,330,16.86,25.63,4.96,8.56,0,5.59
1255,卵、白身、生、冷凍、塩漬け、過去,67.83,138,10.97,10.07,10.3,0.83,0,0.07
1256,ヨーグルト、ギリシャ、PLN、ノンファット,85.1,59,10.19,0.39,0.72,3.6,0,3.24
1258,卵、白、乾燥、安定化、ブドウ糖赤,5.48,357,84.08,0.32,5.61,4.51,0,0
1259,チーズ SPRD、アメリカンまたはチェダー CHS ベース、赤脂肪,61.82,176,13.41,8.88,5.18,10.71,0,7.06
1260,チーズ、チェダー、赤身,44.29,309,27.35,20.41,3.89,4.06,0,0.26
1263,ICE CRM、LT、ソフトサーブ、CHOC,68.92,141,3.36,3.69,0.88,23.15,0,19.46
1264,アイス CRM バー、STK またはナゲット、クランチ コーティング,35.48,358,2.11,25.26,0.41,37.12,1.1,21.05
1265,チーズ、チェダーチーズ、無脂肪または無脂肪,57,157,32.14,0,3.64,7.14,0,0
1266,チーズ、スイスチーズ、無脂肪または無脂肪,63.6,127,28.4,0,4.5,3.4,0,1.33
1267,チーズ、メキシカン、ケソ コティヤ,38,366,20,30,8.03,3.97,0,0
1270,チーズ、チェダー、シャープ、スライス,36.15,410,24.25,33.82,3.66,2.13,0,0.27
1271,チーズ、モッツァレラチーズ、ローモイスト、部分脱脂、細切り,44.81,304,23.63,19.72,3.78,8.06,0,2.24
1275,ヨーグルト、ギリシャ、ノンファット、バニラ、ちょばに,82.03,71,9.07,0.22,0.59,8.09,0.3,7.61
1276,ヨーグルト、グリーク、ストロベリー、ダノンオイコス,76.6,106,8.25,2.92,0.56,11.67,1,11
1278,ヨーグルト、ギリシャ、ノンファット、バニラ、ダノンオイコス,78.5,85,8.12,0.14,0.52,12.72,0.5,11.4
1280,ヨーグルト、ギリシャ、ノンファット、ストロベリー、ダノンオイコス,78.63,84,8.03,0.22,0.59,12.53,0.4,11.63
1281,ヨーグルト、ギリシャ、ノンファット、ストロベリー、ちょばに,79.62,80,8.03,0.12,0.6,11.62,0.7,10.86
1284,ヨーグルト、ギリシャ、ストロベリー、低脂肪,76.81,103,8.17,2.57,0.56,11.89,1,11.23
1285,ヨーグルト、ギリシャ、ストロベリー、ノンファット,79.13,82,8.05,0.15,0.59,12.07,0.6,11.27
1286,ヨーグルト、ギリシャ、バニラ、ノンファット,80.26,78,8.64,0.18,0.55,10.37,0.5,9.54
1287,ヨーグルト、ギリシャ、PLN、低脂肪,83.56,73,9.95,1.92,0.63,3.94,0,3.56
1289,ケフィア、低脂肪、PLN、ライフウェイ,90.07,41,3.79,0.93,0.72,4.48,0,4.61
1290,ケフィア、低脂肪、ストロベリー、ライフウェイ,84.82,62,3.39,0.9,0.68,10.2,0,9.21
1291,MILK、CND、EVAP、WO / VIT A,74.04,107,6.67,2,1.55,15.74,0,6.67
1292,ミルク、チョコレート、無脂肪、VIT A & VITAMIN D 添加,82.34,67,3.39,0,0.81,13.46,0,9.32
1293,ヨーグルト、ギリシャ、PLN、WHLミルク,81.3,97,9,5,0.72,3.98,0,4
1294,ヨーグルト、ギリシャ、フルーツ、白乳,76.81,106,7.33,3,0.56,12.29,0,12
1295,ヨーグルト、バニラ、無脂肪,79,78,2.94,0,1.02,17.04,0,5.88
1297,ヨーグルト、ギリシャ、バニラ、低脂肪,78.76,95,8.64,2.5,0.55,9.54,0,9.54
1298,ヨーグルト、FRZ、チョコ以外のフレーバー、低脂肪,68.08,139,8,2.5,0.42,21,0,21
1300,アイスクリームバー、チョコレートとナッツで覆われています,55.14,303,5.62,25.84,1.52,11.89,1.1,10.8
1301,ICE CRM サンデーコーン,53.31,254,3,14,0.8,28.89,1,21.26
1302,ライトアイスクリーム、クリームシクル,61.77,165,1.54,3.08,0.87,32.75,0,18.46
1303,クリーム、ハーフ＆ハーフ、ローファット,87.83,72,3.33,5,0.51,3.33,0,3.33
1305,牛乳、チョコ、低脂肪、赤砂糖,87.09,54,3.43,1.04,0.76,7.68,0,7.29
1306,ICE CRM、低脂肪、砂糖無添加、コーン、Pnuts および CHOC SAU を追加,43.85,265,5.33,9.33,1.48,40.01,9.3,10.67
2001,オールスパイス、グラウンド,8.46,263,6.09,8.69,4.65,72.12,21.6,
2002,アニスシード,9.54,337,17.6,15.9,6.95,50.02,14.6,
2003,香辛料、バジル、乾燥,10.35,233,22.98,4.07,14.85,47.75,37.7,1.71
2004,香辛料、ローリエ,5.44,313,7.61,8.36,3.62,74.97,26.3,
2005,キャラウェイシード,9.87,333,19.77,14.59,5.87,49.9,38,0.64
2006,スパイス、カルダモン,8.28,311,10.76,6.7,5.78,68.47,28,
2007,セロリシード,6.04,392,18.07,25.27,9.27,41.35,11.8,0.67
